epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.692307710647583,0.5991077423095703
0,511,,,,0.6624755859375,1.1561126708984375,,
1,1023,,,,,,0.6951566934585571,0.5824969410896301
1,1023,,,,0.81298828125,0.44163623452186584,,
2,1535,,,,,,0.9441595673561096,0.4669230580329895
2,1535,,,,0.8673095703125,0.3530037999153137,,
3,2047,,,,,,0.9447293281555176,0.1440034806728363
3,2047,,,,0.9000244140625,0.25941914319992065,,
4,2559,,,,,,0.7977207899093628,0.4059358537197113
4,2559,,,,0.917236328125,0.2454570233821869,,
5,3071,,,,,,0.8170940279960632,0.8538463711738586
5,3071,,,,0.9329833984375,0.1863582879304886,,
6,3583,,,,,,0.976068377494812,0.08980273455381393
6,3583,,,,0.963134765625,0.10725634545087814,,
7,4095,,,,,,0.9754985570907593,0.13859468698501587
7,4095,,,,0.965576171875,0.09738608449697495,,
8,4607,,,,,,0.958404541015625,0.21390964090824127
8,4607,,,,0.956298828125,0.12325909733772278,,
9,5119,,,,,,0.9669515490531921,0.15483585000038147
9,5119,,,,0.9747314453125,0.07845348119735718,,
10,5631,,,,,,0.8689458966255188,0.7019485831260681
10,5631,,,,0.968505859375,0.09387459605932236,,
11,6143,,,,,,0.9544159770011902,0.17658665776252747
11,6143,,,,0.9764404296875,0.07267699390649796,,
12,6144,0.9538986682891846,0.8857112526893616,0.18256209790706635,,,,
