experiment,dataset_type,variant,class,precision,recall,f1_score,support
binary_original,binary,original,unknown,0.9980632666236281,0.9884910485933504,0.9932540957275939,1564.0
binary_original,binary,original,yes_drone,0.9134615384615384,0.9844559585492227,0.9476309226932669,193.0
binary_noisy,binary,noisy,unknown,0.9980781550288277,0.9961636828644501,0.99712,1564.0
binary_noisy,binary,noisy,yes_drone,0.9693877551020408,0.9844559585492227,0.9768637532133676,193.0
binary_noisy_kalman,binary,noisy_kalman,unknown,0.9942159383033419,0.9891304347826086,0.9916666666666667,1564.0
binary_noisy_kalman,binary,noisy_kalman,yes_drone,0.9154228855721394,0.9533678756476683,0.934010152284264,193.0
multiclass_original,multiclass,original,bebop_1,0.5714285714285714,0.9767441860465116,0.721030042918455,86.0
multiclass_original,multiclass,original,membo_1,0.7555555555555555,0.9107142857142857,0.8259109311740891,112.0
multiclass_original,multiclass,original,unknown,0.9932203389830508,0.9397049390635023,0.965721819380356,1559.0
multiclass_noisy,multiclass,noisy,bebop_1,0.9651162790697675,0.9651162790697675,0.9651162790697675,86.0
multiclass_noisy,multiclass,noisy,membo_1,0.9134615384615384,0.8482142857142857,0.8796296296296297,112.0
multiclass_noisy,multiclass,noisy,unknown,0.9897894065092534,0.994868505452213,0.9923224568138196,1559.0
multiclass_noisy_kalman,multiclass,noisy_kalman,bebop_1,0.9010989010989011,0.9534883720930233,0.9265536723163842,86.0
multiclass_noisy_kalman,multiclass,noisy_kalman,membo_1,0.9622641509433962,0.9107142857142857,0.9357798165137615,112.0
multiclass_noisy_kalman,multiclass,noisy_kalman,unknown,0.9923076923076923,0.9929441949967928,0.9926258416159025,1559.0
